temperature,pressure,vibration,current,rpm,running_hours,failure
67.48,8.23,2.41,14.04,2936,4939,0
64.31,8.38,2.37,15.89,2980,5310,0
68.24,8.26,1.64,16.83,2944,743,0
72.62,8.54,2.55,18.3,2953,4208,1
63.83,8.98,1.31,20.05,2972,1037,0
63.83,8.19,1.81,19.39,2948,3966,0
72.9,8.9,1.0,15.64,2895,4871,1
68.84,8.19,3.14,17.26,2981,2335,0
62.65,8.16,2.06,18.15,2988,4357,0
67.71,8.83,3.5,17.48,2895,7317,1
62.68,8.87,2.68,17.46,2919,7767,1
62.67,8.84,2.47,14.55,3011,6135,0
66.21,7.97,1.85,15.69,2957,4296,0
55.43,8.31,1.57,17.19,2950,5709,0
56.38,8.83,2.51,11.81,2937,2177,0
62.19,8.52,2.16,19.28,2919,6477,0
59.94,8.07,1.4,15.25,2944,7040,1
66.57,8.68,1.29,19.37,2979,1101,0
60.46,8.21,1.62,19.2,2950,6684,1
57.94,9.22,3.29,16.91,2968,7618,1
72.33,9.12,3.53,20.0,3003,7246,1
63.87,8.74,2.32,19.49,2933,4012,0
65.34,9.04,2.29,17.38,2959,5129,0
57.88,8.53,2.0,17.16,2980,7293,1
62.28,8.81,1.64,20.19,2922,4535,0
65.55,9.09,3.03,18.46,2955,1573,0
59.25,8.6,3.32,20.09,3006,2135,1
66.88,8.4,1.66,13.22,2940,771,0
62.0,7.82,2.15,18.2,2982,6611,1
63.54,8.47,1.93,14.85,2946,4442,0
61.99,8.83,1.95,17.95,3004,4564,0
74.26,8.88,2.91,19.43,2901,2006,1
64.93,8.7,1.41,21.48,2952,7139,1
59.71,8.28,2.48,16.12,2906,7607,1
69.11,7.71,2.64,16.95,2929,6090,0
58.9,8.3,2.11,17.81,2929,4918,0
66.04,8.38,2.74,16.05,2942,2311,0
55.2,8.37,2.29,19.96,2914,692,0
58.36,8.75,2.93,17.86,2948,1007,0
65.98,9.29,1.29,18.24,2964,7956,1
68.69,8.55,1.99,19.24,2904,1661,0
65.86,8.41,2.16,17.86,2931,5599,0
64.42,8.4,0.6,16.36,3026,4022,0
63.49,8.55,1.55,17.87,2960,7978,1
57.61,8.17,1.71,16.29,2895,4499,0
61.4,8.55,2.77,18.22,2908,6830,1
62.7,8.68,1.78,19.99,2957,7513,1
70.29,8.58,1.71,15.65,2953,6930,1
66.72,8.68,2.69,14.94,2932,4040,0
56.18,8.67,1.23,18.1,3016,5067,0
66.62,7.79,0.96,16.46,3029,2158,0
63.07,8.75,1.98,18.06,2942,2635,0
61.62,8.23,1.33,18.64,2976,5031,0
68.06,8.06,1.35,13.71,2978,4733,0
70.15,8.06,2.54,19.38,2982,6393,0
69.66,8.67,2.73,15.66,2931,4303,0
60.8,8.41,2.67,17.96,3008,4333,0
63.45,7.83,2.87,16.68,2948,7522,1
66.66,8.69,2.94,16.9,2963,6561,1
69.88,7.92,0.92,21.39,2950,5983,1
62.6,8.56,2.47,18.64,2946,2365,0
64.07,8.6,1.88,19.81,2958,4444,0
59.47,8.85,1.75,18.3,2914,3473,0
59.02,9.21,2.54,19.24,2891,4712,1
69.06,7.95,1.16,18.83,2944,1346,0
71.78,8.48,1.15,18.51,2924,6081,0
64.64,8.39,2.58,20.21,2966,1458,0
70.02,8.67,2.49,18.31,2963,3403,0
66.81,8.59,2.28,22.57,2950,5682,1
61.77,8.36,1.67,19.92,2994,1597,0
66.81,8.32,2.65,15.72,2950,6093,0
72.69,8.05,2.61,17.65,2906,7025,1
64.82,8.9,2.25,18.79,2943,3591,0
72.82,8.68,1.49,18.09,2985,1552,1
51.9,8.87,1.94,19.37,2893,5781,0
69.11,8.38,2.7,19.59,2947,3253,0
65.44,8.24,3.0,15.28,2967,2229,0
63.5,8.07,2.0,20.56,3030,6261,0
65.46,8.64,2.05,17.01,2986,2491,0
55.06,8.08,2.1,16.81,2954,5417,0
63.9,9.24,2.36,16.8,2966,4428,1
66.79,7.98,1.85,19.62,2893,1797,0
72.39,8.61,0.46,17.47,2919,2272,1
62.41,9.13,2.92,16.67,2970,2244,0
60.96,8.74,3.28,17.15,2955,4881,1
62.49,8.57,1.83,14.41,2959,1787,0
69.58,8.11,1.56,16.32,2951,7393,1
66.64,7.95,2.12,15.52,2950,4240,0
62.35,8.81,2.09,17.46,2953,7718,1
67.57,9.1,2.8,19.33,2918,2374,0
65.49,8.32,2.23,19.11,2943,7787,1
69.84,8.04,1.72,20.51,2913,7512,1
61.49,7.52,1.41,20.07,2931,6027,0
63.36,8.11,2.72,16.94,2986,4037,0
63.04,8.45,2.56,18.04,2945,3197,0
57.68,9.14,2.84,17.93,2968,6275,0
66.48,8.77,1.62,13.7,2953,1132,0
66.31,8.62,3.3,15.57,2938,4317,1
65.03,8.34,1.15,17.67,2920,5161,0
63.83,8.27,2.63,17.65,2938,6431,0
57.92,9.06,1.05,19.02,2955,7983,1
62.9,8.58,1.73,18.93,2967,4920,0
63.29,7.66,3.14,14.46,2954,7490,1
60.99,8.23,2.7,19.04,2969,4618,0
64.19,8.16,1.87,18.36,2904,722,0
67.02,8.28,1.89,19.25,2976,6225,0
74.43,8.73,2.26,20.13,2916,1338,1
65.87,8.46,2.51,17.71,2980,5383,0
66.29,8.47,2.95,20.49,2965,538,0
64.63,9.03,1.93,16.22,2894,2294,0
55.41,8.22,1.23,16.11,2972,1270,0
64.87,9.25,2.29,18.86,2980,3474,1
65.3,8.23,1.93,17.26,2988,3834,0
77.32,8.54,1.42,18.52,2927,2932,1
64.04,8.39,2.38,21.99,2955,6030,1
66.51,8.55,2.07,18.79,2971,5605,0
64.83,8.68,2.38,18.42,2972,1204,0
59.16,8.67,1.66,16.26,2962,5177,0
70.71,8.2,2.49,14.6,2937,6087,0
68.76,8.05,1.41,17.85,2980,4250,0
68.96,9.5,1.7,20.13,2980,4703,1
60.45,8.31,2.05,17.35,2945,5366,0
72.01,8.78,3.25,18.8,2926,1710,1
57.99,7.86,2.67,20.85,2928,6901,1
67.93,8.39,2.85,20.8,2991,1263,0
75.95,8.45,3.05,18.86,2979,851,1
60.05,8.69,4.36,18.34,2949,6126,1
62.17,7.41,2.22,14.96,2944,775,0
65.5,8.57,3.05,16.74,2897,4055,0
62.48,8.04,2.81,17.44,2947,782,0
57.25,8.63,2.8,16.3,2914,4167,0
65.34,8.09,3.26,18.5,2955,3334,1
59.69,8.16,1.95,21.82,2986,2218,1
67.37,8.39,1.9,21.04,2921,818,1
60.4,8.08,2.39,18.49,2957,1224,0
72.75,8.31,2.09,19.56,2980,5063,1
61.08,8.02,2.39,16.54,2957,2168,0
63.39,7.77,3.14,20.93,2934,4970,0
69.07,8.91,1.91,14.88,2950,4487,0
58.85,7.98,2.02,19.83,2979,4287,0
66.14,8.43,2.3,18.99,2958,6243,0
71.54,8.8,2.06,16.49,2950,3760,0
56.96,8.25,1.05,17.58,2985,3761,0
65.92,8.17,1.85,15.73,2965,5693,0
